,city_state,population,lat,lng
1608,"Charleston, WV",142858.0,38.3484,-81.6323
13185,"Pasadena, CA",142647.0,34.1597,-118.139
12604,"Pueblo, CO",142351.0,38.2713,-104.6105
5566,"Tyler, TX",141116.0,32.3184,-95.3065
14042,"Orange, CA",140560.0,33.8038,-117.8218
13992,"Fullerton, CA",140392.0,33.8841,-117.9279
2879,"Miramar, FL",140328.0,25.9773,-80.3351
13733,"Santa Maria, CA",140219.0,34.9333,-120.4432
17334,"Athens, GA",140169.0,33.9508,-83.3689
23891,"Columbia, MO",139945.0,38.9477,-92.3255
19512,"Yuma, AZ",138802.0,32.5991,-114.5488
25736,"Olathe, KS",137472.0,38.8832,-94.8198
12412,"Thornton, CO",136978.0,39.9205,-104.9443
5241,"Harlingen, TX",136968.0,26.1916,-97.6976
12411,"Grand Junction, CO",136688.0,39.0877,-108.5673
22864,"West Valley City, UT",136170.0,40.6889,-112.0115
4933,"Carrollton, TX",135710.0,32.989,-96.8999
13176,"Roseville, CA",135329.0,38.7691,-121.3178
25410,"Warren, MI",135022.0,42.4934,-83.027
15817,"Bloomington, IL",134892.0,40.4757,-88.9703
12220,"Hampton, VA",134669.0,37.0551,-76.3629
19365,"Surprise, AZ",134085.0,33.68,-112.4524
3851,"Las Cruces, NM",133988.0,32.3265,-106.7893
12630,"Greeley, CO",133750.0,40.4151,-104.7705
66,"Yakima, WA",133233.0,46.5923,-120.5496
2684,"Coral Springs, FL",133037.0,26.2702,-80.2591
24939,"Sterling Heights, MI",132631.0,42.5809,-83.0305
27556,"Mauldin, SC",132402.0,34.7866,-82.2997
1116,"Racine, WI",131467.0,42.7274,-87.8135
20010,"Stamford, CT",130824.0,41.1035,-73.5583
3211,"Elizabeth, NJ",130215.0,40.6657,-74.1912
203,"Kent, WA",128458.0,47.3887,-122.2128
6757,"Greenville, NC",128385.0,35.5956,-77.3768
13130,"Simi Valley, CA",127864.0,34.2663,-118.749
6858,"Burlington, NC",127374.0,36.0762,-79.4687
13217,"Santa Clara, CA",127134.0,37.3646,-121.968
8636,"Johnson City, TN",126589.0,36.3406,-82.3803
12664,"Boulder, CO",126054.0,40.0249,-105.2523
387,"Bellingham, WA",126015.0,48.7543,-122.4687
15025,"Fort Smith, AR",125562.0,35.3493,-94.3695
12274,"Lynchburg, VA",125004.0,37.4003,-79.1909
1105,"Kenosha, WI",124888.0,42.5864,-87.8762
13936,"East Los Angeles, CA",123905.0,34.0326,-118.1691
25270,"South Lyon, MI",123850.0,42.4614,-83.6526
4322,"Round Rock, TX",123678.0,30.5254,-97.6659
13616,"Berkeley, CA",122324.0,37.8723,-122.276
26297,"Billings, MT",120800.0,45.7889,-108.5509
27166,"Ponce, PR",120295.0,18.012,-66.6198
12948,"Redding, CA",120270.0,40.5698,-122.365
13279,"Yuba City, CA",120186.0,39.1357,-121.6381
24157,"Duluth, MN",120101.0,46.7757,-92.1392
4437,"Pearland, TX",119940.0,29.5585,-95.3215
19219,"Leominster, MA",119400.0,42.5209,-71.7717
25332,"Saginaw, MI",119336.0,43.4199,-83.9501
19117,"Iowa City, IA",119091.0,41.6559,-91.5304
12786,"Arvada, CO",118807.0,39.8321,-105.1511
13129,"Seaside, CA",118110.0,36.6224,-121.8191
8442,"Kingsport, TN",118001.0,36.5224,-82.5452
23011,"Independence, MO",117306.0,39.0871,-94.3503
2320,"Lehigh Acres, FL",116849.0,26.612,-81.6388
5849,"Richardson, TX",116783.0,32.9717,-96.7092
24542,"Rochester, MN",116713.0,44.0151,-92.4778
13432,"Gilroy, CA",116235.0,37.0047,-121.5856
12885,"El Monte, CA",116109.0,34.0739,-118.0291
27548,"Rock Hill, SC",115963.0,34.9413,-81.025
2353,"Clearwater, FL",115513.0,27.9788,-82.7624
6150,"Monroe, LA",115462.0,32.5183,-92.0775
696,"Dover, DE",115352.0,39.161,-75.5203
14259,"Carlsbad, CA",115330.0,33.1247,-117.2837
20832,"Norman, OK",115065.0,35.2335,-97.3471
5333,"Abilene, TX",114964.0,32.4543,-99.7384
