,city_state,population
19450,"Goodyear, AZ",79858.0
15340,"Springdale, AR",79599.0
4460,"Pharr, TX",79487.0
20542,"Silver Spring, MD",79483.0
17227,"Valdosta, GA",79294.0
13532,"Alameda, CA",79177.0
21738,"Parma, OH",79167.0
4249,"New Braunfels, TX",79152.0
17961,"Kokomo, IN",79099.0
22250,"Newark, OH",79025.0
2982,"Cheyenne, WY",78728.0
19774,"Flagstaff, AZ",78628.0
24184,"Plymouth, MN",78395.0
8507,"Franklin, TN",78321.0
14632,"Florence, AL",78112.0
12870,"Milpitas, CA",78106.0
13312,"Folsom, CA",78038.0
16396,"Kankakee, IL",78001.0
10095,"Lebanon, PA",77973.0
13658,"Perris, CA",77879.0
13016,"Bellflower, CA",77772.0
2753,"Boynton Beach, FL",77702.0
